,t,values
0,0.0,2.239504597482731
1,0.02,2.752789170211229
2,0.04,4.011651524085212
3,0.06,3.8035803997296913
4,0.08,3.584558004754541
5,0.1,4.606690249071678
6,0.12,5.421156870665273
7,0.14,5.0561772933358675
8,0.16,2.797045762954003
9,0.18,2.216572535693442
10,0.2,1.6630350514470522
11,0.22,1.718287609988642
12,0.24,-1.925396110692986
13,0.26,-2.0667381321339486
14,0.28,-2.423331406721177
15,0.3,-3.725193814344263
16,0.32,-4.25266246312395
17,0.34,-5.756167450101718
18,0.36,-5.703340183087511
19,0.38,-5.449346480985888
20,0.4,-3.8396152554070238
21,0.42,-3.0114268140440004
22,0.44,-3.1319682993482036
23,0.46,-1.6505384055777368
24,0.48,1.0067580795058984
25,0.5,1.615174508672592
26,0.52,1.7742591493698734
27,0.54,4.267156313641122
28,0.56,3.3537733489791917
29,0.58,5.392006857590173
30,0.6,5.555160054942071
31,0.62,3.5980368888550878
32,0.64,3.449740140067675
33,0.66,3.962560880831642
34,0.68,1.9916907091359723
35,0.7000000000000001,1.8127047462694863
36,0.72,0.10490230938777512
37,0.74,-0.9854743251286797
38,0.76,-2.5308177843497877
39,0.78,-3.666229517523984
40,0.8,-4.506644616188126
41,0.8200000000000001,-3.442642375039873
42,0.84,-6.686086646285493
43,0.86,-5.177216970065915
44,0.88,-4.191122467249886
45,0.9,-4.437779202654682
46,0.92,-2.803164084476199
47,0.9400000000000001,-2.1808937229745093
48,0.96,-0.7719245857022952
49,0.98,-0.1700961208780276
50,1.0,2.4683225239398037
51,1.02,3.022540386041258
52,1.04,2.958761382753539
53,1.06,2.5505596731804125
54,1.08,4.708636606685073
55,1.1,5.071469505478094
56,1.12,4.640661259937023
57,1.1400000000000001,3.5097571072867884
58,1.16,4.221871702967118
59,1.18,3.110117388876702
60,1.2,1.7660358563173744
61,1.22,1.3264774296779374
62,1.24,-0.8522733571044914
63,1.26,-2.36808927905298
64,1.28,-3.0766443564122694
65,1.3,-5.310773181497378
66,1.32,-4.86486984658316
67,1.34,-4.6770745498254
68,1.36,-5.480073415476014
69,1.3800000000000001,-6.117609939660067
70,1.4000000000000001,-4.35778505091978
71,1.42,-2.0027300956140355
72,1.44,-2.6218356676900543
73,1.46,-1.7394791572953978
74,1.48,0.6189808043090036
75,1.5,0.5712845273137286
76,1.52,3.2344946155110788
77,1.54,2.7620385553489895
78,1.56,3.3055002291555047
79,1.58,4.318491015364129
80,1.6,4.954888305094663
81,1.62,4.7521636330629855
