This file was generated on Sept 19
Sampling rate: 50 [Hz]
,t,values
0,0.0,1.394587025170962
1,0.02,2.6086173740911187
2,0.04,4.159191554324113
3,0.06,5.009754476201454
4,0.08,4.664557371892189
5,0.1,5.034408032287196
6,0.12,4.281394778529312
7,0.14,3.730710112937469
8,0.16,3.259973415390168
9,0.18,3.5795203788895056
10,0.2,1.944854554840627
11,0.22,-0.5555544024706655
12,0.24,-1.6426462692553803
13,0.26,-1.9921320370938018
14,0.28,-3.945485628678159
15,0.3,-2.9311523915148276
16,0.32,-4.188882586355002
17,0.34,-4.407721868576417
18,0.36,-4.04219908763174
19,0.38,-4.998088798658502
20,0.4,-6.658095472621238
21,0.42,-2.9156851210248664
22,0.44,-2.0176139018616466
23,0.46,-1.3677908802408902
24,0.48,-0.5247438297672367
25,0.5,0.4508986677303384
26,0.52,2.4302886567460167
27,0.54,3.0254143541231446
28,0.56,3.2449492485254723
29,0.58,4.126473644245822
30,0.6,4.621107331087887
31,0.62,3.3289518321717004
32,0.64,3.7774358385925844
33,0.66,3.6800714242450674
34,0.68,2.9171848448782827
35,0.7000000000000001,1.3703920372465221
36,0.72,-0.13435993506268973
37,0.74,-0.15236364540445735
38,0.76,-0.29398863647304485
39,0.78,-2.0643765514753065
40,0.8,-3.983018885529699
41,0.8200000000000001,-3.421048952315431
42,0.84,-4.697194616652332
43,0.86,-3.649551363517187
44,0.88,-3.1975811151947604
45,0.9,-4.379028420087938
46,0.92,-3.252045779837521
47,0.9400000000000001,-2.036831877387124
48,0.96,-2.0885478673419673
49,0.98,0.4981472654040636
50,1.0,-0.02848817710352125
51,1.02,2.667381802924848
52,1.04,3.7828248750652285
53,1.06,3.0356064714185385
54,1.08,3.529722086900082
55,1.1,6.047412118591441
56,1.12,4.3395672743361
57,1.1400000000000001,3.810869370750467
58,1.16,3.8646590688787468
59,1.18,3.738043116580709
60,1.2,1.7547163163299404
61,1.22,-0.3166714551301766
62,1.24,-1.0808481649784278
63,1.26,-1.4673559283424071
64,1.28,-2.591398437264303
65,1.3,-3.505436513489457
66,1.32,-4.1995428920232225
67,1.34,-4.657212370188235
68,1.36,-5.786041733492306
69,1.3800000000000001,-4.306473991684782
70,1.4000000000000001,-4.032529170514867
71,1.42,-3.109874190742459
72,1.44,-1.6945504838451138
73,1.46,-0.039451778868361265
74,1.48,-0.6941198310981466
75,1.5,2.1870826533575753
76,1.52,1.0483590109739587
77,1.54,3.6698958573032554
78,1.56,4.108650103561655
79,1.58,6.009228646965851
80,1.6,5.188436179548929
81,1.62,4.400207655186102
82,1.6400000000000001,4.26257404385502
83,1.6600000000000001,2.9137055068219855
84,1.68,1.9343298273904925
85,1.7,1.7269921272905469
86,1.72,1.7926428091970064
87,1.74,0.9241419298820936
88,1.76,-0.4141602308802499
89,1.78,-4.399023922062039
90,1.8,-3.6429255654967085
91,1.82,-3.9892245743999792
92,1.84,-4.1948063198159
93,1.86,-5.43111920569996
94,1.8800000000000001,-5.567375060818485
95,1.9000000000000001,-4.908808932829456
96,1.92,-4.284862249646161
97,1.94,-2.441357184793029
98,1.96,-1.7121322857471837
99,1.98,-0.8261029043679106
100,2.0,2.159212396315442
101,2.02,1.8401851616242293
102,2.04,4.8246619992415125
103,2.06,3.137203274880739
104,2.08,4.264488738702134
105,2.1,5.916855465873629
106,2.12,4.891521916930714
107,2.14,5.8275291710401245
108,2.16,3.4861309717339823
109,2.18,2.399168381318609
110,2.2,1.8252552538588311
111,2.22,1.4316008103942888
112,2.24,-0.952128009689629
113,2.2600000000000002,-0.9096303874422038
114,2.2800000000000002,-3.5121832319691872
115,2.3000000000000003,-3.743107674168689
116,2.32,-3.375962027607108
117,2.34,-3.480220487303374
118,2.36,-5.484666383895063
119,2.38,-4.011488151201732
120,2.4,-4.134708680284887
121,2.42,-2.8146988808316054
122,2.44,-1.7022328455727105
123,2.46,-1.4921651492962251
124,2.48,-0.5974437674485467
125,2.5,0.7794844788010956
126,2.52,2.254395348043544
127,2.54,3.9851067171557792
128,2.56,4.132544722586861
129,2.58,5.639108637323826
130,2.6,4.854698800832464
131,2.62,5.508451848719348
132,2.64,5.928756477796933
133,2.66,5.200893774700152
134,2.68,3.085566732855883
135,2.7,1.4049575199411808
136,2.72,-0.32727635635974806
137,2.74,-0.22780887148544693
138,2.7600000000000002,-2.287172032344613
139,2.7800000000000002,-3.3894090156774395
140,2.8000000000000003,-3.4659208086945377
141,2.82,-3.5271499233683894
142,2.84,-5.630957810642236
143,2.86,-5.523634857048416
144,2.88,-4.5563241143206055
145,2.9,-4.462367708498323
146,2.92,-2.843890858474153
147,2.94,-2.3553896396486507
148,2.96,-1.4273151943717788
149,2.98,1.0139779269252387
150,3.0,0.8721120315039648
151,3.02,2.7247607032369365
152,3.04,4.723177020928556
153,3.06,3.3358621627006
154,3.08,4.237820861065476
155,3.1,4.848957129596093
156,3.12,4.413035131660665
157,3.14,5.6137580582281945
158,3.16,3.6753495290684293
159,3.18,2.6737937423998357
160,3.2,1.635868239846407
161,3.22,0.08988087257877436
162,3.24,-0.00914797099586806
163,3.2600000000000002,-2.0667707600465137
164,3.2800000000000002,-2.6326592043883466
165,3.3000000000000003,-3.368606539272434
166,3.3200000000000003,-4.102754395484198
167,3.34,-5.560050954772882
168,3.36,-5.111969573608474
169,3.38,-4.875990355466781
170,3.4,-5.034678215228102
171,3.42,-4.793056937108005
172,3.44,-2.5963995218431357
173,3.46,-0.978359979105731
174,3.48,0.693036473886009
175,3.5,1.3696828874475213
176,3.52,1.9551442920109492
177,3.54,3.2556831237208748
178,3.56,3.5060079568955436
179,3.58,5.284882622505469
180,3.6,4.88419812075319
181,3.62,4.87237144869712
182,3.64,4.825868921790912
183,3.66,3.390479213192428
184,3.68,3.2445472916965925
185,3.7,1.573653298422909
186,3.72,1.1941451261254241
187,3.74,-1.7190937830988593
188,3.7600000000000002,-1.1120705706999219
189,3.7800000000000002,-2.981783117074582
190,3.8000000000000003,-4.301335931623694
191,3.8200000000000003,-3.846115388548263
192,3.84,-5.127549109289026
193,3.86,-4.5059396908146665
194,3.88,-5.85625306821926
195,3.9,-4.054107265250503
196,3.92,-4.307178917072918
197,3.94,-1.526689502499727
198,3.96,-0.08565206434602612
199,3.98,-0.37152081420625094
